"Match #","Stage","Matchday","Group","Date (Local Venue)","Time (Local)","Timezone (Local)","Time (EDT Broadcast)","Team / Path A","Team / Path B","Qualification Rule (Full)","Venue","Notes","??1??","??2??","???????1??","???????2??"
"M047","Group Stage","2","K","2026/6/23","12:00","CDT (UTC-5)","13:00 EDT","Portugal","Uzbekistan","Group K, Matchday 2","NRG Stadium, Houston","","","","",""
"M048","Group Stage","2","K","2026/6/23","20:00","CST (UTC-6)","22:00 EDT","Colombia","DR Congo","Group K, Matchday 2","Estadio Akron, Guadalajara","","","","",""
"M049","Group Stage","3","C","2026/6/24","18:00","EDT (UTC-4)","18:00 EDT","Scotland","Brazil","Group C, Matchday 3","Hard Rock Stadium, Miami Gardens","","","","",""
"M050","Group Stage","3","C","2026/6/24","18:00","EDT (UTC-4)","18:00 EDT","Morocco","Haiti","Group C, Matchday 3","Mercedes-Benz Stadium, Atlanta","","","","",""
"M051","Group Stage","3","B","2026/6/24","12:00","PDT (UTC-7)","15:00 EDT","Switzerland","Canada","Group B, Matchday 3","BC Place, Vancouver","","","","",""
"M052","Group Stage","3","B","2026/6/24","12:00","PDT (UTC-7)","15:00 EDT","Bosnia & Herzegovina","Qatar","Group B, Matchday 3","Lumen Field, Seattle","","","","",""
"M053","Group Stage","3","A","2026/6/24","19:00","CST (UTC-6)","21:00 EDT","Czech","Mexico","Group A, Matchday 3","Estadio Azteca, Mexico City","","","","",""
"M054","Group Stage","3","A","2026/6/24","19:00","CST (UTC-6)","21:00 EDT","South Africa","South Korea","Group A, Matchday 3","Estadio BBVA, Guadalupe","","","","",""
"M055","Group Stage","3","E","2026/6/25","16:00","EDT (UTC-4)","16:00 EDT","Curaçao","Ivory Coast","Group E, Matchday 3","Lincoln Financial Field, Philadelphia","","","","",""
"M056","Group Stage","3","E","2026/6/25","16:00","EDT (UTC-4)","16:00 EDT","Ecuador","Germany","Group E, Matchday 3","MetLife Stadium, East Rutherford","","","","",""
"M057","Group Stage","3","F","2026/6/25","18:00","CDT (UTC-5)","19:00 EDT","Japan","Sweden","Group F, Matchday 3","AT&T Stadium, Arlington","","","","",""
"M058","Group Stage","3","F","2026/6/25","18:00","CDT (UTC-5)","19:00 EDT","Tunisia","Netherlands","Group F, Matchday 3","GEHA Field at Arrowhead Stadium, Kansas City","","","","",""
"M059","Group Stage","3","D","2026/6/25","19:00","PDT (UTC-7)","22:00 EDT","Türkiye","USA","Group D, Matchday 3","SoFi Stadium, Inglewood","","","","",""
"M060","Group Stage","3","D","2026/6/25","19:00","PDT (UTC-7)","22:00 EDT","Paraguay","Australia","Group D, Matchday 3","Levi's Stadium, Santa Clara","","","","",""
"M061","Group Stage","3","I","2026/6/26","15:00","EDT (UTC-4)","15:00 EDT","Norway","France","Group I, Matchday 3","Gillette Stadium, Foxborough","","","","",""
"M062","Group Stage","3","I","2026/6/26","15:00","EDT (UTC-4)","15:00 EDT","Senegal","Iraq","Group I, Matchday 3","BMO Field, Toronto","","","","",""
"M063","Group Stage","3","G","2026/6/26","20:00","PDT (UTC-7)","23:00 EDT","Egypt","Iran","Group G, Matchday 3","Lumen Field, Seattle","","","","",""
"M064","Group Stage","3","G","2026/6/26","20:00","PDT (UTC-7)","23:00 EDT","New Zealand","Belgium","Group G, Matchday 3","BC Place, Vancouver","","","","",""
"M065","Group Stage","3","H","2026/6/26","19:00","CDT (UTC-5)","20:00 EDT","Cape Verde","Saudi Arabia","Group H, Matchday 3","NRG Stadium, Houston","","","","",""
"M066","Group Stage","3","H","2026/6/26","18:00","CST (UTC-6)","20:00 EDT","Uruguay","Spain","Group H, Matchday 3","Estadio Akron, Guadalajara","","","","",""
"M067","Group Stage","3","L","2026/6/27","17:00","EDT (UTC-4)","17:00 EDT","Panama","England","Group L, Matchday 3","MetLife Stadium, East Rutherford","","","","",""
"M068","Group Stage","3","L","2026/6/27","17:00","EDT (UTC-4)","17:00 EDT","Croatia","Ghana","Group L, Matchday 3","Lincoln Financial Field, Philadelphia","","","","",""
"M069","Group Stage","3","J","2026/6/27","21:00","CDT (UTC-5)","22:00 EDT","Algeria","Austria","Group J, Matchday 3","GEHA Field at Arrowhead Stadium, Kansas City","","","","",""
"M070","Group Stage","3","J","2026/6/27","21:00","CDT (UTC-5)","22:00 EDT","Jordan","Argentina","Group J, Matchday 3","AT&T Stadium, Arlington","","","","",""
"M071","Group Stage","3","K","2026/6/27","19:30","EDT (UTC-4)","19:30 EDT","Colombia","Portugal","Group K, Matchday 3","Hard Rock Stadium, Miami Gardens","","","","",""
"M072","Group Stage","3","K","2026/6/27","19:30","EDT (UTC-4)","19:30 EDT","DR Congo","Uzbekistan","Group K, Matchday 3","Mercedes-Benz Stadium, Atlanta","","","","",""
"M073","Round of 32","","","2026/6/28","12:00","PDT (UTC-7)","15:00 EDT","2A vs 2B","Runner-up Group A vs Runner-up Group B","Round of 32: 2A vs 2B","SoFi Stadium, Inglewood","","","","",""
"M074","Round of 32","","","2026/6/29","16:30","EDT (UTC-4)","16:30 EDT","1E vs 3(A/B/C/D/F)","Winner Group E vs Best 3rd from Groups A/B/C/D/F","Round of 32: 1E vs 3ABCDF","Gillette Stadium, Foxborough","","","","",""
"M075","Round of 32","","","2026/6/29","19:00","CST (UTC-6)","21:00 EDT","1C vs 2F","Winner Group C vs Runner-up Group F","Round of 32: 1F vs 2C","Estadio BBVA, Guadalupe","","","","",""
"M076","Round of 32","","","2026/6/29","12:00","CDT (UTC-5)","13:00 EDT","1F vs 2C","Winner Group F vs Runner-up Group C","Round of 32: 1C vs 2F","NRG Stadium, Houston","","","","",""
"M077","Round of 32","","","2026/6/30","17:00","EDT (UTC-4)","17:00 EDT","1I vs 3(C/D/F/G/H)","Winner Group I vs Best 3rd from Groups C/D/F/G/H","Round of 32: 1I vs 3CDFGH","MetLife Stadium, East Rutherford","","","","",""
"M078","Round of 32","","","2026/6/30","12:00","CDT (UTC-5)","13:00 EDT","2E vs 2I","Runner-up Group E vs Runner-up Group I","Round of 32: 2E vs 2I","AT&T Stadium, Arlington","","","","",""
"M079","Round of 32","","","2026/6/30","19:00","CST (UTC-6)","21:00 EDT","1A vs 3(C/E/F/H/I)","Winner Group A vs Best 3rd from Groups C/E/F/H/I","Round of 32: 1A vs 3CEFHI","Estadio Azteca, Mexico City","","","","",""
"M080","Round of 32","","","2026/7/1","12:00","EDT (UTC-4)","12:00 EDT","1L vs 3(E/H/I/J/K)","Winner Group L vs Best 3rd from Groups E/H/I/J/K","Round of 32: 1L vs 3EHIJK","Mercedes-Benz Stadium, Atlanta","","","","",""
"M081","Round of 32","","","2026/7/1","17:00","PDT (UTC-7)","20:00 EDT","1D vs 3(B/E/F/I/J)","Winner Group D vs Best 3rd from Groups B/E/F/I/J","Round of 32: 1D vs 3BEFIJ","Levi's Stadium, Santa Clara","","","","",""
"M082","Round of 32","","","2026/7/1","13:00","PDT (UTC-7)","16:00 EDT","1G vs 3(A/E/H/I/J)","Winner Group G vs Best 3rd from Groups A/E/H/I/J","Round of 32: 1G vs 3AEHIJ","Lumen Field, Seattle","","","","",""
"M083","Round of 32","","","2026/7/2","19:00","EDT (UTC-4)","19:00 EDT","2K vs 2L","Runner-up Group K vs Runner-up Group L","Round of 32: 2K vs 2L","BMO Field, Toronto","","","","",""
"M084","Round of 32","","","2026/7/2","12:00","PDT (UTC-7)","15:00 EDT","1H vs 2J","Winner Group H vs Runner-up Group J","Round of 32: 1H vs 2J","SoFi Stadium, Inglewood","","","","",""
"M085","Round of 32","","","2026/7/2","20:00","PDT (UTC-7)","23:00 EDT","1B vs 3(E/F/G/I/J)","Winner Group B vs Best 3rd from Groups E/F/G/I/J","Round of 32: 1B vs 3EFGIJ","BC Place, Vancouver","","","","",""
"M086","Round of 32","","","2026/7/3","18:00","EDT (UTC-4)","18:00 EDT","1J vs 2H","Winner Group J vs Runner-up Group H","Round of 32: 1J vs 2H","Hard Rock Stadium, Miami Gardens","","","","",""
"M087","Round of 32","","","2026/7/3","20:30","CDT (UTC-5)","21:30 EDT","1K vs 3(D/E/I/J/L)","Winner Group K vs Best 3rd from Groups D/E/I/J/L","Round of 32: 1K vs 3DEIJL","GEHA Field at Arrowhead Stadium, Kansas City","","","","",""
"M088","Round of 32","","","2026/7/3","13:00","CDT (UTC-5)","14:00 EDT","2D vs 2G","Runner-up Group D vs Runner-up Group G","Round of 32: 2D vs 2G","AT&T Stadium, Arlington","","","","",""
"M089","Round of 16","","","2026/7/4","17:00","EDT (UTC-4)","17:00 EDT","WM073 vs WM074","Winner M073 vs Winner M074","Round of 16: W74 vs W77","Lincoln Financial Field, Philadelphia","","","","",""
"M090","Round of 16","","","2026/7/4","12:00","CDT (UTC-5)","13:00 EDT","WM075 vs WM076","Winner M075 vs Winner M076","Round of 16: W73 vs W75","NRG Stadium, Houston","","","","",""
"M091","Round of 16","","","2026/7/5","16:00","EDT (UTC-4)","16:00 EDT","WM077 vs WM078","Winner M077 vs Winner M078","Round of 16: W76 vs W78","MetLife Stadium, East Rutherford","","","","",""
"M092","Round of 16","","","2026/7/5","18:00","CST (UTC-6)","20:00 EDT","WM079 vs WM080","Winner M079 vs Winner M080","Round of 16: W79 vs W80","Estadio Azteca, Mexico City","","","","",""
"M093","Round of 16","","","2026/7/6","14:00","CDT (UTC-5)","15:00 EDT","WM081 vs WM082","Winner M081 vs Winner M082","Round of 16: W83 vs W84","AT&T Stadium, Arlington","","","","",""
"M094","Round of 16","","","2026/7/6","17:00","PDT (UTC-7)","20:00 EDT","WM083 vs WM084","Winner M083 vs Winner M084","Round of 16: W81 vs W82","Lumen Field, Seattle","","","","",""
"M095","Round of 16","","","2026/7/7","12:00","EDT (UTC-4)","12:00 EDT","WM085 vs WM086","Winner M085 vs Winner M086","Round of 16: W86 vs W88","Mercedes-Benz Stadium, Atlanta","","","","",""
"M096","Round of 16","","","2026/7/7","13:00","PDT (UTC-7)","16:00 EDT","WM087 vs WM088","Winner M087 vs Winner M088","Round of 16: W85 vs W87","BC Place, Vancouver","","","","",""
"M097","Quarter-final","","","2026/7/9","16:00","EDT (UTC-4)","16:00 EDT","WM089 vs WM090","Winner M089 vs Winner M090","Quarter-final: W89 vs W90","Gillette Stadium, Foxborough","","","","",""
"M098","Quarter-final","","","2026/7/10","12:00","PDT (UTC-7)","15:00 EDT","WM091 vs WM092","Winner M091 vs Winner M092","Quarter-final: W93 vs W94","SoFi Stadium, Inglewood","","","","",""
"M099","Quarter-final","","","2026/7/11","17:00","EDT (UTC-4)","17:00 EDT","WM093 vs WM094","Winner M093 vs Winner M094","Quarter-final: W91 vs W92","Hard Rock Stadium, Miami Gardens","","","","",""
"M100","Quarter-final","","","2026/7/11","20:00","CDT (UTC-5)","21:00 EDT","WM095 vs WM096","Winner M095 vs Winner M096","Quarter-final: W95 vs W96","GEHA Field at Arrowhead Stadium, Kansas City","","","","",""
"M101","Semi-final","","","2026/7/14","14:00","CDT (UTC-5)","15:00 EDT","WM097 vs WM098","Winner M097 vs Winner M098","Semi-final: W97 vs W98","AT&T Stadium, Arlington","","","","",""
"M102","Semi-final","","","2026/7/15","15:00","EDT (UTC-4)","15:00 EDT","WM099 vs WM100","Winner M099 vs Winner M100","Semi-final: W99 vs W100","Mercedes-Benz Stadium, Atlanta","","","","",""
"M103","Third Place","","","2026/7/18","17:00","EDT (UTC-4)","17:00 EDT","LM101 vs LM102","Loser M101 vs Loser M102","Third Place: RU101 vs RU102","Hard Rock Stadium, Miami Gardens","","","","",""
"M104","Final","","","2026/7/19","15:00","EDT (UTC-4)","15:00 EDT","WM101 vs WM102","Winner M101 vs Winner M102","Final: W101 vs W102","MetLife Stadium, East Rutherford","FIFA World Cup 26 Final","","","",""
